Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Avg Packet Size,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Fwd Packets Length Total,Bwd Packets Length Total,Flow IAT Mean,Flow IAT Std,Idle Mean,Protocol
0,0,0,0.0,0.0,58,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,TCP
22256,0,0,2.2256000000000002e-05,2606038.820992092,58,0,1,0,0,1,0,0,0,0,2.1934509277343753e-05,0.0,2.1934509277343753e-05,TCP
33589,0,0,1.1333000000000001e-05,5117797.582281832,58,0,1,0,0,1,0,0,0,0,1.6570091247558594e-05,5.364418029785156e-06,1.6570091247558594e-05,TCP
43276,0,0,9.686999999999999e-06,5987405.801589759,58,0,1,0,0,1,0,0,0,0,1.4384587605794271e-05,5.360737468096431e-06,1.4384587605794271e-05,TCP
51205,0,0,7.929e-06,7314919.91423887,58,0,1,0,0,1,0,0,0,0,1.275539398193359e-05,5.432857925942345e-06,1.275539398193359e-05,TCP
59398,0,0,8.193e-06,7079213.963139266,58,0,1,0,0,1,0,0,0,0,1.18255615234375e-05,5.20299046686338e-06,1.18255615234375e-05,TCP
69445,0,0,1.0047e-05,5772867.5226435745,58,0,1,0,0,1,0,0,0,0,1.1523564656575521e-05,4.79742313155701e-06,1.1523564656575521e-05,TCP
78167,0,0,8.721999999999999e-06,6649850.951616601,58,0,1,0,0,1,0,0,0,0,1.1137553623744422e-05,4.541079197610844e-06,1.1137553623744422e-05,TCP
95403,0,0,1.7236000000000002e-05,3365049.895567417,58,0,1,0,0,1,0,0,0,0,1.1891126632690431e-05,4.6924227434008755e-06,1.1891126632690431e-05,TCP
103416,0,0,8.013e-06,7238237.863471859,58,0,1,0,0,1,0,0,0,0,1.1444091796875002e-05,4.601197187465073e-06,1.1444091796875002e-05,TCP
112603,0,0,9.186999999999999e-06,6313268.74931969,58,0,1,0,0,1,0,0,0,0,1.1205673217773432e-05,4.423291169693684e-06,1.1205673217773432e-05,TCP
120294,0,0,7.691e-06,7541282.017943051,58,0,1,0,0,1,0,0,0,0,1.092390580610795e-05,4.310539555863831e-06,1.092390580610795e-05,TCP
128076,0,0,7.782e-06,7453096.890259574,58,0,1,0,0,1,0,0,0,0,1.066923141479492e-05,4.21257698156467e-06,1.066923141479492e-05,TCP
134209,0,0,6.1329999999999996e-06,9457035.708462415,58,0,1,0,0,1,0,0,0,0,1.030701857346754e-05,4.237348301121316e-06,1.030701857346754e-05,TCP
139422,0,0,5.213e-06,11126031.076155765,58,0,1,0,0,1,0,0,0,0,9.928430829729352e-06,4.305332141096347e-06,9.928430829729352e-06,TCP
144777,0,0,5.355e-06,10830999.066293184,58,0,1,0,0,1,0,0,0,0,9.663899739583333e-06,4.2754921302660836e-06,9.663899739583333e-06,TCP
154909,0,0,1.0132000000000002e-05,5724437.425977102,58,0,1,0,0,1,0,0,0,0,9.685754776000977e-06,4.140592715478246e-06,9.685754776000977e-06,TCP
161579,0,0,6.67e-06,8695652.173913043,58,0,1,0,0,1,0,0,0,0,9.46662005256204e-06,4.111487321525297e-06,9.46662005256204e-06,TCP
166755,0,0,5.176e-06,11205564.142194744,58,0,1,0,0,1,0,0,0,0,9.285079108344184e-06,4.065153085342775e-06,9.285079108344184e-06,TCP
