Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Avg Packet Size,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Fwd Packets Length Total,Bwd Packets Length Total,Flow IAT Mean,Flow IAT Std,Idle Mean,Protocol
0,0,0,0.0,0.0,58.0,0,0,0,0,0,0,0,0,0,4.3559510707855225,0.0,4.3559510707855225,6
2383000,0,0,0.002383,24339.068401174987,58.0,0,0,0,0,0,0,0,0,0,2.1791670322418213,2.176784038543701,2.1791670322418213,6
2433000,0,0,5e-05,1160000.0,58.0,0,0,0,0,0,0,0,0,0,1.4527947107950847,2.052841769929413,1.4527947107950847,6
2470000,0,0,3.7e-05,1567567.5675675676,58.0,0,0,0,0,0,0,0,0,0,1.0896052718162537,1.88582586816293,1.0896052718162537,6
4793000,0,0,0.002323,24967.71416272062,58.0,0,0,0,0,0,0,0,0,0,0.8721487998962403,1.7419014417427794,0.8721487998962403,6
8273000,0,0,0.00348,16666.666666666668,58.0,0,0,0,0,0,0,0,0,0,0.7273706992467245,1.6227509624378753,0.7273706992467245,6
8375000,0,0,0.000102,568627.4509803922,58.0,0,0,0,0,0,0,0,0,0,0.6234751428876605,1.5237774563361093,0.6234751428876605,6
8446000,0,0,7.1e-05,816901.4084507042,58.0,0,0,0,0,0,0,0,0,0,0.5455496311187744,1.4401969369063645,0.5455496311187744,6
8514000,0,0,6.8e-05,852941.1764705882,58.0,0,0,0,0,0,0,0,0,0,0.4849405553605821,1.368609467112217,0.4849405553605821,6
10842000,0,0,0.002328,24914.089347079036,58.0,0,0,0,0,0,0,0,0,0,0.4366793155670166,1.3064245142831545,0.4366793155670166,6
12034000,0,0,0.001192,48657.71812080537,58.0,0,0,0,0,0,0,0,0,0,0.3970895463770086,1.251902501137469,0.3970895463770086,6
21160000,0,0,0.009126,6355.467893929432,58.0,0,0,0,0,0,0,0,0,0,0.36475926637649536,1.2033921223131818,0.36475926637649536,6
21266000,0,0,0.000106,547169.8113207547,58.0,0,0,0,0,0,0,0,0,0,0.33670900418208194,1.160257752702338,0.33670900418208194,6
21321000,0,0,5.5e-05,1054545.4545454546,58.0,0,0,0,0,0,0,0,0,0,0.31266229493277414,1.1214090350427643,0.31266229493277414,6
21370000,0,0,4.9e-05,1183673.469387755,58.0,0,0,0,0,0,0,0,0,0,0.2918214003245036,1.0861868206637062,0.2918214003245036,6
23699000,0,0,0.002329,24903.3920137398,58.0,0,0,0,0,0,0,0,0,0,0.2737281322479248,1.0540278419199485,0.2737281322479248,6
23749000,0,0,5e-05,1160000.0,58.0,0,0,0,0,0,0,0,0,0,0.2576294225804946,1.024582809901694,0.2576294225804946,6
23779000,0,0,3e-05,1933333.3333333333,58.0,0,0,0,0,0,0,0,0,0,0.24331833256615532,0.9974623333708958,0.24331833256615532,6
23808000,0,0,2.9e-05,2000000.0,58.0,0,0,0,0,0,0,0,0,0,0.23051363543460243,0.9723772911017876,0.23051363543460243,6
23838000,0,0,3e-05,1933333.3333333333,58.0,0,0,0,0,0,0,0,0,0,0.21898945569992065,0.9490864260384907,0.21898945569992065,6
27268000,0,0,0.00343,16909.620991253643,58.0,0,0,0,0,0,0,0,0,0,0.20872471446082705,0.9273504023919474,0.20872471446082705,6
28385000,0,0,0.001117,50134.288272157566,56.0,0,0,0,0,0,0,0,0,0,0.19928799976002087,0.907060586758473,0.19928799976002087,6
28413000,0,0,2.8e-05,2000000.0,56.0,0,0,0,0,0,0,0,0,0,0.19062452730925186,0.8880529309796555,0.19062452730925186,6
28433000,0,0,2e-05,2800000.0,56.0,0,0,0,0,0,0,0,0,0,0.18268267313639322,0.8701889285146606,0.18268267313639322,6
28455000,0,0,2.2e-05,2545454.5454545454,56.0,0,0,0,0,0,0,0,0,0,0.1753762435913086,0.8533585614276382,0.1753762435913086,6
28475000,0,0,2e-05,2800000.0,56.0,0,0,0,0,0,0,0,0,0,0.16863177372859076,0.8374661411518523,0.16863177372859076,6
28496000,0,0,2.1e-05,2666666.666666667,56.0,0,0,0,0,0,0,0,0,0,0.1623869295473452,0.8224278563051717,0.1623869295473452,6
28517000,0,0,2.1e-05,2666666.666666667,56.0,0,0,0,0,0,0,0,0,0,0.15658814566476004,0.8081700184582857,0.15658814566476004,6
28538000,0,0,2.1e-05,2666666.666666667,56.0,0,0,0,0,0,0,0,0,0,0.15118927791200834,0.7946275162151554,0.15118927791200834,6
28558000,0,0,2e-05,2800000.0,56.0,0,0,0,0,0,0,0,0,0,0.1461503028869629,0.7817425876539196,0.1461503028869629,6
28579000,0,0,2.1e-05,2666666.666666667,56.0,0,0,0,0,0,0,0,0,0,0.14143645378851122,0.7694637669422514,0.14143645378851122,6
28600000,0,0,2.1e-05,2666666.666666667,56.0,0,0,0,0,0,0,0,0,0,0.13701722025871277,0.7577450621691786,0.13701722025871277,6
28620000,0,0,2e-05,2800000.0,56.0,0,0,0,0,0,0,0,0,0,0.1328657901648319,0.746545215346712,0.1328657901648319,6
28642000,0,0,2.2e-05,2545454.5454545454,56.0,0,0,0,0,0,0,0,0,0,0.12895861793966854,0.7358270752446568,0.12895861793966854,6
28663000,0,0,2.1e-05,2666666.666666667,56.0,0,0,0,0,0,0,0,0,0,0.12527468545096263,0.7255571336223022,0.12527468545096263,6
28683000,0,0,2e-05,2800000.0,56.0,0,0,0,0,0,0,0,0,0,0.12179538938734266,0.7157050394665483,0.12179538938734266,6
28704000,0,0,2.1e-05,2666666.666666667,56.0,0,0,0,0,0,0,0,0,0,0.11850418915619722,0.7062432309985683,0.11850418915619722,6
28725000,0,0,2.1e-05,2666666.666666667,56.0,0,0,0,0,0,0,0,0,0,0.11538620998984889,0.6971466354802979,0.11538620998984889,6
28746000,0,0,2.1e-05,2666666.666666667,56.0,0,0,0,0,0,0,0,0,0,0.11242813330430251,0.6883923712373811,0.11242813330430251,6
28766000,0,0,2e-05,2800000.0,56.0,0,0,0,0,0,0,0,0,0,0.10961792469024659,0.6799595201069726,0.10961792469024659,6
28787000,0,0,2.1e-05,2666666.666666667,56.0,0,0,0,0,0,0,0,0,0,0.10694483431374155,0.6718288914580558,0.10694483431374155,6
28808000,0,0,2.1e-05,2666666.666666667,56.0,0,0,0,0,0,0,0,0,0,0.10439902827853248,0.6639828766143966,0.10439902827853248,6
28829000,0,0,2.1e-05,2666666.666666667,56.0,0,0,0,0,0,0,0,0,0,0.1019716318263564,0.6564052624437504,0.1019716318263564,6
28851000,0,0,2.2e-05,2545454.5454545454,56.0,0,0,0,0,0,0,0,0,0,0.09965459325096825,0.6490810964118833,0.09965459325096825,6
28871000,0,0,2e-05,2700000.0,54.0,0,0,0,0,0,0,0,0,0,0.09744049178229439,0.6419965786230745,0.09744049178229439,6
29267000,0,0,0.000396,146464.64646464647,58.0,0,0,0,0,0,0,0,0,0,0.09533082920572032,0.6351376984059557,0.09533082920572032,6
29448000,0,0,0.000181,320441.9889502762,58.0,0,0,0,0,0,0,0,0,0,0.0933063638971207,0.6284945891392169,0.0933063638971207,6
29603000,0,0,0.000155,374193.5483870968,58.0,0,0,0,0,0,0,0,0,0,0.09136570990085602,0.6220556059400485,0.09136570990085602,6
29746000,0,0,0.000143,405594.4055944056,58.0,0,0,0,0,0,0,0,0,0,0.08950402298752143,0.6158104703749794,0.08950402298752143,6
29883000,0,0,0.000137,423357.6642335767,58.0,0,0,0,0,0,0,0,0,0,0.08771667957305908,0.6097496370991654,0.08771667957305908,6
30044000,0,0,0.000161,360248.4472049689,58.0,0,0,0,0,0,0,0,0,0,0.08599990489436131,0.603864136309092,0.08599990489436131,6
30129000,0,0,8.5e-05,682352.9411764705,58.0,0,0,0,0,0,0,0,0,0,0.08434769281974205,0.5981459510164885,0.08434769281974205,6
30370000,0,0,0.000241,240663.90041493776,58.0,0,0,0,0,0,0,0,0,0,0.08276077486434073,0.5925866953816876,0.08276077486434073,6
30506000,0,0,0.000136,426470.5882352941,58.0,0,0,0,0,0,0,0,0,0,0.08123068897812455,0.5871798096707397,0.08123068897812455,6
30616000,0,0,0.00011,527272.7272727273,58.0,0,0,0,0,0,0,0,0,0,0.07975576574152166,0.5819182681363294,0.07975576574152166,6
30701000,0,0,8.5e-05,682352.9411764705,58.0,0,0,0,0,0,0,0,0,0,0.07833307129996163,0.5767956743428243,0.07833307129996163,6
30748000,0,0,4.7e-05,1234042.5531914895,58.0,0,0,0,0,0,0,0,0,0,0.0769596350820441,0.5718060515348956,0.0769596350820441,6
30834000,0,0,8.6e-05,674418.6046511628,58.0,0,0,0,0,0,0,0,0,0,0.07563422466146535,0.5669435726507595,0.07563422466146535,6
30851000,0,0,1.7e-05,3411764.705882353,58.0,0,0,0,0,0,0,0,0,0,0.07435257960174044,0.5622031701996657,0.07435257960174044,6
