Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Avg Packet Size,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Fwd Packets Length Total,Bwd Packets Length Total,Flow IAT Mean,Flow IAT Std,Idle Mean,Protocol
0,0,0,0.0,0.0,54,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,TCP
14804,0,0,1.4804000000000001e-05,3647662.793839503,54,0,0,1,0,1,0,0,0,0,1.5020370483398432e-05,0.0,1.5020370483398432e-05,TCP
19549,0,0,4.745e-06,11380400.421496311,54,0,0,1,0,1,0,0,0,0,1.0013580322265622e-05,5.006790161132812e-06,1.0013580322265622e-05,TCP
26000,0,0,6.451e-06,8370795.225546427,54,0,0,1,0,1,0,0,0,0,8.662541707356771e-06,4.512491088415269e-06,8.662541707356771e-06,TCP
30787,0,0,4.788e-06,11278195.488721805,54,0,0,1,0,1,0,0,0,0,7.748603820800781e-06,4.216370387989853e-06,7.748603820800781e-06,TCP
35919,0,0,5.131e-06,10524264.275969597,54,0,0,1,0,1,0,0,0,0,7.2002410888671865e-06,3.927471214670944e-06,7.2002410888671865e-06,TCP
44520,0,0,8.601000000000001e-06,6278339.727938612,54,0,0,1,0,1,0,0,0,0,7.510185241699219e-06,3.651646022608327e-06,7.510185241699219e-06,TCP
53302,0,0,8.782e-06,6148941.015713961,54,0,0,1,0,1,0,0,0,0,7.697514125279018e-06,3.411764953651742e-06,7.697514125279018e-06,TCP
71352,0,0,1.805e-05,2991689.7506925203,54,0,0,1,0,1,0,0,0,0,9.000301361083984e-06,4.697435966464036e-06,9.000301361083984e-06,TCP
79854,0,0,8.502000000000001e-06,6351446.718419196,54,0,0,1,0,1,0,0,0,0,8.874469333224826e-06,4.443062802681776e-06,8.874469333224826e-06,TCP
88068,0,0,8.214e-06,6574141.709276845,54,0,0,1,0,1,0,0,0,0,8.797645568847656e-06,4.221355632812129e-06,8.797645568847656e-06,TCP
94947,0,0,6.8790000000000005e-06,7849978.194505015,54,0,0,1,0,1,0,0,0,0,8.62641768022017e-06,4.0611633204557614e-06,8.62641768022017e-06,TCP
101811,0,0,6.864e-06,7867132.867132868,54,0,0,1,0,1,0,0,0,0,8.503595987955729e-06,3.9095477664467e-06,8.503595987955729e-06,TCP
