Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Avg Packet Size,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Fwd Packets Length Total,Bwd Packets Length Total,Flow IAT Mean,Flow IAT Std,Idle Mean,Protocol,is_anomaly
0,0,0,0.0,0.0,58,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,TCP,True
1571252,0,0,8.8e-07,65909090.90909091,58,0,1,0,0,1,0,0,0,0,7.854700088500977e-06,1.0981348495236131e-05,7.854700088500977e-06,TCP,True
1571896,0,0,6.44e-07,90062111.80124223,58,0,1,0,0,1,0,0,0,0,7.821552789033349e-06,1.096402358370166e-05,7.821552789033349e-06,TCP,True
1572465,0,0,5.69e-07,101933216.16871706,58,0,1,0,0,1,0,0,0,0,7.782832230671798e-06,1.095061964770492e-05,7.782832230671798e-06,TCP,True
1573076,0,0,6.11e-07,94926350.2454992,58,0,1,0,0,1,0,0,0,0,7.749191058680341e-06,1.093407336065815e-05,7.749191058680341e-06,TCP,True
1573653,0,0,5.769999999999999e-07,100519930.67590988,58,0,1,0,0,1,0,0,0,0,7.715879702100566e-06,1.0917562441604687e-05,7.715879702100566e-06,TCP,True
1574338,0,0,6.849999999999999e-07,84671532.84671533,58,0,1,0,0,1,0,0,0,0,7.678241264529344e-06,1.0904161433824053e-05,7.678241264529344e-06,TCP,True
1574973,0,0,6.35e-07,91338582.67716536,58,0,1,0,0,1,0,0,0,0,7.645597735654959e-06,1.088769932210802e-05,7.645597735654959e-06,TCP,True
1575722,0,0,7.489999999999999e-07,77436582.1094793,58,0,1,0,0,1,0,0,0,0,7.613269603194821e-06,1.087127509344221e-05,7.613269603194821e-06,TCP,True
1576673,0,0,9.51e-07,60988433.22818086,58,0,1,0,0,1,0,0,0,0,7.582398561330941e-06,1.0854202055065882e-05,7.582398561330941e-06,TCP,True
1577632,0,0,9.589999999999998e-07,60479666.31908237,58,0,1,0,0,1,0,0,0,0,7.550682177383934e-06,1.083786111563369e-05,7.550682177383934e-06,TCP,True
